
matrixupdate 1.929108 matrix 1.915344, up: 3.477285, left 7.004131, right 0.434536, downright 2.324136, down 0.945604, downleft 0.426141

matrixupdate 1.942858 matrix 1.929108, up: 3.495814, left 7.025032, right 0.439673, downright 2.340967, down 0.955582, downleft 0.431497

matrixupdate 1.956591 matrix 1.942858, up: 3.514278, left 7.045817, right 0.444829, downright 2.357773, down 0.965581, downleft 0.436879

matrixupdate 1.970310 matrix 1.956591, up: 3.532679, left 7.066485, right 0.450003, downright 2.374556, down 0.975600, downleft 0.442284

matrixupdate 1.984013 matrix 1.970310, up: 3.551017, left 7.087039, right 0.455195, downright 2.391314, down 0.985639, downleft 0.447714

matrixupdate 1.997700 matrix 1.984013, up: 3.569291, left 7.107478, right 0.460406, downright 2.408047, down 0.995696, downleft 0.453167

matrixupdate 2.011371 matrix 1.997700, up: 3.587502, left 7.127805, right 0.465634, downright 2.424756, down 1.005772, downleft 0.458644

matrixupdate 2.025025 matrix 2.011371, up: 3.605650, left 7.148019, right 0.470880, downright 2.441439, down 1.015867, downleft 0.464145

matrixupdate 2.038663 matrix 2.025025, up: 3.623735, left 7.168122, right 0.476143, downright 2.458096, down 1.025979, downleft 0.469668

matrixupdate 2.052284 matrix 2.038663, up: 3.641757, left 7.188115, right 0.481424, downright 2.474727, down 1.036108, downleft 0.475215

matrixupdate 2.065889 matrix 2.052284, up: 3.659718, left 7.207999, right 0.486721, downright 2.491332, down 1.046255, downleft 0.480785

matrixupdate 2.079476 matrix 2.065889, up: 3.677616, left 7.227775, right 0.492036, downright 2.507911, down 1.056418, downleft 0.486377

matrixupdate 2.093046 matrix 2.079476, up: 3.695452, left 7.247443, right 0.497367, downright 2.524463, down 1.066597, downleft 0.491991

matrixupdate 2.106598 matrix 2.093046, up: 3.713227, left 7.267005, right 0.502714, downright 2.540988, down 1.076791, downleft 0.497628

matrixupdate 2.120133 matrix 2.106598, up: 3.730940, left 7.286461, right 0.508078, downright 2.557486, down 1.087001, downleft 0.503287

matrixupdate 2.133650 matrix 2.120133, up: 3.748592, left 7.305813, right 0.513457, downright 2.573957, down 1.097226, downleft 0.508967

matrixupdate 2.147150 matrix 2.133650, up: 3.766183, left 7.325061, right 0.518853, downright 2.590399, down 1.107466, downleft 0.514669

matrixupdate 2.160631 matrix 2.147150, up: 3.783713, left 7.344206, right 0.524264, downright 2.606814, down 1.117720, downleft 0.520392

